url,result
http://pages.leadsquared.com/webinar-revenue-acceleration-using-automation,no
http://pages.leadsquared.com/Roundtable-2021-Decoding-the-30-Bn-EdTech-Market-in-India,no
http://pages.leadsquared.com/sales-crm-platform-for-business,yes
http://pages.leadsquared.com/roundtable-video-decoding-the-30Bn-edtech-market,no
http://pages.leadsquared.com/Roundtable-Digitizing-Housing-Finance-to-Become-Future-Ready-Episode-2,no
http://pages.leadsquared.com/webinar-video-digitizing-housing-finance-to-become-future-ready,no
http://pages.leadsquared.com/book-a-demo-with-LeadSquared,no
http://pages.leadsquared.com/edtech-demo,no
http://pages.leadsquared.com/gaining-view-into-admission-funnel,no
http://pages.leadsquared.com/leadsquared-savex-partnership,no
http://pages.leadsquared.com/webinar-digital-sales-in-lending,no
http://pages.leadsquared.com/subscribe-to-leadsquared-webinars-and-roundtables,no
http://pages.leadsquared.com/b2c-sales-crm-platform-for-your-business,yes
http://pages.leadsquared.com/saas-sales-clone-crm-platform-for-business,yes
http://pages.leadsquared.com/EdTech-TitansStrategy-Ebook,no
http://pages.leadsquared.com/get-a-free-trial,no
http://pages.leadsquared.com/sales-crm-platform-for-your-business,yes
http://pages.leadsquared.com/webinar-collections-with-ozonetel-and-pepper-global,no
http://pages.leadsquared.com/Insurance-industry-sales-demo,yes
http://pages.leadsquared.com/edtech-2021-virtual-roundtable,no
http://pages.leadsquared.com/webinar-digital-transfirmation-masterclass-with-daman-health-ae,no
http://pages.leadsquared.com/webinar-video-digital-transformation-masterclass,no
http://pages.leadsquared.com/Edtech-E-Book-Download-Thank-You-Page,no
http://pages.leadsquared.com/-Thank-you-for-registering,no
http://pages.leadsquared.com/webinar-rise-of-insurtech-with-Riskcovry,no
http://pages.leadsquared.com/-free-trial-,yes
http://pages.leadsquared.com/CRM-Buyer-Guide-eBook,no
http://pages.leadsquared.com/lead-management-try-it-free,no
http://pages.leadsquared.com/CRM-E-Book-Download-Thank-You-Page,no
http://pages.leadsquared.com/CRM-Buyers-Guide-eBook,no
http://pages.leadsquared.com/CRM-Buyers-Guide-EBook-,no
http://pages.leadsquared.com/scale-your-real-estate-business,no
http://pages.leadsquared.com/get-a-free-trial-,yes
